Returned;Updated Order Returns
Yes;CA-2012-157812 Customer Dissatified With Product
Yes;CA-2013-145982 Customer Dissatified With Product
Yes;CA-2014-166142 Customer Dissatified With Product
Yes;CA-2011-127131 Customer Dissatified With Product
Yes;CA-2014-143084 Customer Dissatified With Product
Yes;CA-2012-151547 Customer Dissatified With Product
Yes;CA-2012-138674 Customer Dissatified With Product
Yes;CA-2011-169019 Customer Dissatified With Product
Yes;CA-2011-100762 Procut Description Inaccurate
Yes;US-2011-164406 Procut Description Inaccurate
Yes;CA-2013-118500 Procut Description Inaccurate
Yes;CA-2012-143490 Procut Description Inaccurate
Yes;CA-2014-115427 Procut Description Inaccurate
Yes;CA-2012-124058 Procut Description Inaccurate
Yes;CA-2014-132346 Procut Description Inaccurate
Yes;CA-2013-150077 Procut Description Inaccurate
Yes;CA-2014-124401 Procut Description Inaccurate
Yes;CA-2014-137414 Procut Description Inaccurate
Yes;CA-2014-142867 Procut Description Inaccurate
Yes;CA-2014-157196 Procut Description Inaccurate
Yes;CA-2012-149342 Procut Description Inaccurate
Yes;CA-2013-112123 Procut Description Inaccurate
Yes;US-2014-147998 Procut Description Inaccurate
Yes;CA-2012-103716 Procut Description Inaccurate
Yes;CA-2012-144267 Procut Description Inaccurate
Yes;CA-2013-109869 Procut Description Inaccurate
Yes;CA-2014-166898 Procut Description Inaccurate
Yes;CA-2014-169327 Procut Description Inaccurate
Yes;CA-2014-169859 Procut Description Inaccurate
Yes;CA-2014-137085 Procut Description Inaccurate
Yes;CA-2014-154074 Procut Description Inaccurate
Yes;CA-2013-130477 Procut Description Inaccurate
Yes;CA-2013-134775 Procut Description Inaccurate
Yes;US-2014-105046 Procut Description Inaccurate
Yes;CA-2013-136924 Procut Description Inaccurate
Yes;CA-2014-166093 Procut Description Inaccurate
Yes;CA-2013-106950 Procut Description Inaccurate
Yes;CA-2014-145128 Procut Description Inaccurate
Yes;US-2013-114293 Procut Description Inaccurate
Yes;CA-2014-137099 Procut Description Inaccurate
Yes;CA-2013-133319 Procut Description Inaccurate
Yes;CA-2011-103744 Procut Description Inaccurate
Yes;CA-2012-161627 Procut Description Inaccurate
Yes;CA-2012-142601 Procut Description Inaccurate
Yes;CA-2012-112144 Procut Description Inaccurate
Yes;CA-2011-164861 Procut Description Inaccurate
Yes;US-2012-128090 Procut Description Inaccurate
Yes;CA-2011-108609 Procut Description Inaccurate
Yes;CA-2014-147452 Procut Description Inaccurate
Yes;CA-2012-123568 Procut Description Inaccurate
Yes;CA-2014-102519 Procut Description Inaccurate
Yes;CA-2014-121853 Procut Description Inaccurate
Yes;CA-2012-132374 Procut Description Inaccurate
Yes;US-2011-150574 Procut Description Inaccurate
Yes;CA-2011-148614 Procut Description Inaccurate
Yes;CA-2014-165491 Procut Description Inaccurate
Yes;CA-2013-133802 Procut Description Inaccurate
Yes;CA-2014-112865 Procut Description Inaccurate
Yes;CA-2013-130680 Procut Description Inaccurate
Yes;CA-2012-114048 Procut Description Inaccurate
Yes;CA-2014-108931 Procut Description Inaccurate
Yes;CA-2014-136308 Procut Description Inaccurate
Yes;CA-2013-126529 Procut Description Inaccurate
Yes;CA-2011-135699 Procut Description Inaccurate
Yes;CA-2012-146255 Procut Description Inaccurate
Yes;CA-2014-140053 Procut Description Inaccurate
Yes;CA-2011-143336 Procut Description Inaccurate
Yes;CA-2014-159954 Procut Description Inaccurate
Yes;CA-2013-105291 Procut Description Inaccurate
Yes;CA-2014-158729 Procut Description Inaccurate
Yes;CA-2014-101273 Procut Description Inaccurate
Yes;CA-2014-123085 Procut Description Inaccurate
Yes;CA-2014-131828 Procut Description Inaccurate
Yes;CA-2014-113670 Procut Description Inaccurate
Yes;CA-2012-135580 Procut Description Inaccurate
Yes;US-2013-157490 Procut Description Inaccurate
Yes;CA-2014-142888 Procut Description Inaccurate
Yes;CA-2011-153150 Procut Description Inaccurate
Yes;US-2013-152051 Procut Description Inaccurate
Yes;CA-2011-103940 Procut Description Inaccurate
Yes;CA-2013-159345 Procut Description Inaccurate
Yes;CA-2014-162012 Procut Description Inaccurate
Yes;CA-2012-148873 Procut Description Inaccurate
Yes;CA-2014-167395 Procut Description Inaccurate
Yes;US-2013-127425 Procut Description Inaccurate
Yes;CA-2014-142342 Procut Description Inaccurate
Yes;CA-2013-159212 Procut Description Inaccurate
Yes;CA-2013-116736 Procut Description Inaccurate
Yes;CA-2013-128671 Procut Description Inaccurate
Yes;CA-2014-112753 Procut Description Inaccurate
Yes;US-2013-148957 Procut Description Inaccurate
Yes;CA-2012-110814 Procut Description Inaccurate
Yes;CA-2011-164721 Procut Description Inaccurate
Yes;US-2012-136987 Procut Description Inaccurate
Yes;CA-2013-151372 Procut Description Inaccurate
Yes;US-2014-151127 Procut Description Inaccurate
Yes;US-2012-110569 Procut Description Inaccurate
Yes;CA-2012-153220 Procut Description Inaccurate
Yes;CA-2014-117212 Procut Description Inaccurate
Yes;CA-2014-101574 Procut Description Inaccurate
Yes;CA-2013-151323 Procut Description Inaccurate
Yes;CA-2011-166744 Procut Description Inaccurate
Yes;US-2013-119046 Procut Description Inaccurate
Yes;CA-2012-105158 Procut Description Inaccurate
Yes;CA-2014-103380 Procut Description Inaccurate
Yes;CA-2013-161746 Procut Description Inaccurate
Yes;CA-2012-111948 Procut Description Inaccurate
Yes;CA-2014-138163 Procut Description Inaccurate
Yes;CA-2012-134201 Procut Description Inaccurate
Yes;US-2012-126214 Procut Description Inaccurate
Yes;CA-2011-140816 Procut Description Inaccurate
Yes;CA-2011-133690 Procut Description Inaccurate
Yes;CA-2013-120873 Procut Description Inaccurate
Yes;US-2014-103247 Procut Description Inaccurate
Yes;CA-2014-155712 Procut Description Inaccurate
Yes;US-2013-108455 Procut Description Inaccurate
Yes;CA-2013-104689 Procut Description Inaccurate
Yes;CA-2014-152660 Procut Description Inaccurate
Yes;US-2012-136749 Procut Description Inaccurate
Yes;CA-2012-143602 Procut Description Inaccurate
Yes;CA-2013-134803 Procut Description Inaccurate
Yes;CA-2013-139269 Procut Description Inaccurate
Yes;CA-2011-123253 Procut Description Inaccurate
Yes;CA-2013-162159 Procut Description Inaccurate
Yes;US-2013-135720 Procut Description Inaccurate
Yes;CA-2011-159338 Procut Description Inaccurate
Yes;US-2014-136679 Procut Description Inaccurate
Yes;CA-2012-113628 Procut Description Inaccurate
Yes;CA-2014-107825 Procut Description Inaccurate
Yes;CA-2011-160766 Procut Description Inaccurate
Yes;CA-2013-118311 Procut Description Inaccurate
Yes;CA-2012-130456 Procut Description Inaccurate
Yes;CA-2011-148950 Procut Description Inaccurate
Yes;CA-2012-119214 Procut Description Inaccurate
Yes;CA-2012-119907 Procut Description Inaccurate
Yes;CA-2014-137428 Procut Description Inaccurate
Yes;CA-2011-108861 Procut Description Inaccurate
Yes;CA-2013-130638 Procut Description Inaccurate
Yes;CA-2012-143238 Procut Description Inaccurate
Yes;CA-2012-109736 Procut Description Inaccurate
Yes;CA-2011-124688 Procut Description Inaccurate
Yes;CA-2013-133368 Procut Description Inaccurate
Yes;CA-2014-168193 Procut Description Inaccurate
Yes;CA-2011-135657 Procut Description Inaccurate
Yes;CA-2013-105081 Product Arrived After Promised Delivery Date
Yes;CA-2014-154214 Product Arrived After Promised Delivery Date
Yes;CA-2012-107678 Product Arrived After Promised Delivery Date
Yes;CA-2014-144064 Product Arrived After Promised Delivery Date
Yes;CA-2014-101700 Product Arrived After Promised Delivery Date
Yes;CA-2013-113341 Product Arrived After Promised Delivery Date
Yes;CA-2012-139731 Product Arrived After Promised Delivery Date
Yes;CA-2012-132941 Product Arrived After Promised Delivery Date
Yes;CA-2012-146262 Product Arrived After Promised Delivery Date
Yes;CA-2013-115917 Product Arrived After Promised Delivery Date
Yes;US-2013-111528 Product Arrived After Promised Delivery Date
Yes;CA-2014-142328 Product Arrived After Promised Delivery Date
Yes;CA-2012-141593 Product Arrived After Promised Delivery Date
Yes;CA-2014-121258 Product Arrived After Promised Delivery Date
Yes;CA-2011-141726 Product Arrived After Promised Delivery Date
Yes;CA-2014-167003 Product Arrived After Promised Delivery Date
Yes;US-2012-160857 Product Arrived After Promised Delivery Date
Yes;CA-2013-145261 Product Arrived After Promised Delivery Date
Yes;CA-2014-112725 Product Arrived After Promised Delivery Date
Yes;CA-2013-145919 Product Arrived After Promised Delivery Date
Yes;CA-2014-140151 Product Arrived After Promised Delivery Date
Yes;CA-2012-164882 Product Arrived After Promised Delivery Date
Yes;CA-2014-123491 Product Arrived After Promised Delivery Date
Yes;CA-2011-127012 Product Arrived After Promised Delivery Date
Yes;CA-2013-123526 Product Arrived After Promised Delivery Date
Yes;CA-2014-161557 Product Arrived After Promised Delivery Date
Yes;CA-2012-150875 Product Arrived After Promised Delivery Date
Yes;CA-2012-150770 Product Arrived After Promised Delivery Date
Yes;US-2011-140452 Product Arrived After Promised Delivery Date
Yes;CA-2012-149650 Product Arrived After Promised Delivery Date
Yes;CA-2011-100867 Product Arrived After Promised Delivery Date
Yes;CA-2014-140186 Product Arrived After Promised Delivery Date
Yes;CA-2014-156391 Incorrect Products Delivered
Yes;CA-2012-157770 Incorrect Products Delivered
Yes;CA-2014-140963 Incorrect Products Delivered
Yes;CA-2014-154949 Incorrect Products Delivered
Yes;CA-2013-166275 Incorrect Products Delivered
Yes;US-2011-143287 Incorrect Products Delivered
Yes;CA-2011-151162 Incorrect Products Delivered
Yes;US-2014-103828 Incorrect Products Delivered
Yes;CA-2011-143840 Incorrect Products Delivered
Yes;CA-2011-160773 Incorrect Products Delivered
Yes;CA-2014-111556 Incorrect Products Delivered
Yes;CA-2014-140585 Incorrect Products Delivered
Yes;CA-2011-103373 Incorrect Products Delivered
Yes;CA-2013-159023 Incorrect Products Delivered
Yes;CA-2013-145492 Incorrect Products Delivered
Yes;CA-2014-118122 Incorrect Products Delivered
Yes;CA-2011-116785 Incorrect Products Delivered
Yes;US-2011-164763 Incorrect Products Delivered
Yes;CA-2014-122504 Incorrect Products Delivered
Yes;CA-2014-150910 Incorrect Products Delivered
Yes;CA-2012-162166 Incorrect Products Delivered
Yes;US-2013-140172 Incorrect Products Delivered
Yes;CA-2012-101910 Incorrect Products Delivered
Yes;CA-2014-156958 Incorrect Products Delivered
Yes;CA-2013-105585 Incorrect Products Delivered
Yes;CA-2013-148796 Incorrect Products Delivered
Yes;CA-2012-149636 Incorrect Products Delivered
